Issue #,OriginationPhase,DetectionPhase,Category,Priority,Status,Created_at,Closed_at,Author
1,Requirements,Coding,Bug,Critical,Approved,2/24/2017,,Smith
2,Design,Testing,Enhancement,High,Approved,2/25/2017,,Roy
3,Requirements,Design,Inquiry,Low,Rejected,2/26/2017,3/7/2017,Linda
4,Testing,Field,Bug,High,Completed,2/27/2017,3/8/2017,Kim
5,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,James
6,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
7,Coding,Testing,Bug,Low,Completed,3/2/2017,3/11/2017,Tom
8,Testing,Field,Enhancement,Medium,Completed,3/3/2017,3/12/2017,Lindsey
9,Design,Testing,Inquiry,Critical,Approved,3/4/2017,,David
10,Requirements,Coding,Bug,High,inProgress,3/5/2017,,Michelle
11,Requirements,Design,Inquiry,Low,Rejected,2/26/2017,3/17/2017,Smith
12,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Rose
13,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Clark
14,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
15,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Lisa
16,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
17,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
18,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherine
19,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Smith
20,Requirements,Coding,Bug,High,inProgress,3/7/2017,,Joseph
21,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Leslie
22,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
23,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
24,Design,Testing,Enhancement,High,Approved,3/11/2017,,Christopher
25,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
26,Testing,Field,Bug,Medium,Completed,8/13/2017,,Kim
27,Documentation,Field,Enhancement,Major,pendingReview,8/14/2017,,Sandy
28,Design,Testing,Inquiry,Critical,Approved,8/15/2017,,David
29,Requirements,Coding,Bug,High,inProgress,8/16/2017,,Alexander
30,Requirements,Design,Inquiry,Low,Rejected,3/17/2017,3/25/2017,Smith
31,Testing,Field,Bug,Medium,Completed,3/18/2017,3/26/2017,James
32,Documentation,Field,Enhancement,Major,pendingReview,3/19/2017,,Alyssa
33,Design,Coding,Inquiry,High,inProgress,3/20/2017,,John
34,Requirements,Testing,Bug,High,Completed,3/17/2017,3/25/2017,Lindsey
35,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Joseph
36,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
37,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
38,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherine
39,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
40,Requirements,Coding,Bug,Critical,inProgress,3/7/2017,,Michelle
41,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
42,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
43,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
44,Design,Testing,Enhancement,High,Approved,3/11/2017,,Joseph
45,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
46,Testing,Field,Inquiry,Medium,Completed,2/13/2017,3/7/2017,Kim
47,Documentation,Field,Inquiry,Major,pendingReview,2/14/2017,,Sandy
48,Design,Testing,Inquiry,Critical,Approved,2/15/2017,,David
49,Requirements,Coding,Inquiry,High,inProgress,2/16/2017,,Michelle
50,Requirements,Design,Inquiry,Low,Rejected,2/17/2017,3/11/2017,Smith
51,Testing,Field,Bug,Medium,Completed,2/18/2017,3/12/2017,Joseph
52,Documentation,Field,Enhancement,Major,pendingReview,2/19/2017,,Roy
53,Design,Coding,Inquiry,Low,inProgress,2/20/2017,,John
54,Testing,Field,Bug,Medium,Completed,2/21/2017,3/15/2017,Michelle
55,Documentation,Field,Enhancement,Major,pendingReview,2/22/2017,,Roy
56,Design,Coding,Inquiry,High,inProgress,2/23/2017,,John
57,Coding,Testing,Bug,Low,Completed,2/24/2017,3/18/2017,Linda
58,Design,Coding,Inquiry,High,inProgress,2/25/2017,,Lindsey
59,Coding,Testing,Bug,High,Completed,3/4/2017,3/20/2017,David
60,Testing,Field,Enhancement,High,Completed,3/5/2017,3/21/2017,Catherine
61,Design,Testing,Inquiry,High,Approved,3/6/2017,,Alyssa
62,Testing,Field,Bug,Medium,Completed,2/27/2017,3/23/2017,Michelle
63,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
64,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
65,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,Linda
66,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
67,Coding,Testing,Bug,Low,Completed,3/4/2017,3/28/2017,David
68,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/29/2017,Catherine
69,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
70,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
71,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Rose
72,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Smith
73,Requirements,Coding,Bug,High,inProgress,2/7/2017,,Joseph
74,Requirements,Design,Inquiry,Low,Rejected,2/8/2017,3/19/2017,Roy
75,Testing,Field,Bug,Medium,Completed,2/9/2017,3/10/2017,John
76,Documentation,Field,Inquiry,Major,pendingReview,2/10/2017,,Jessica
77,Design,Testing,Enhancement,High,Approved,2/11/2017,,Michelle
78,Requirements,Design,Inquiry,Low,Rejected,2/12/2017,3/13/2017,Smith
79,Testing,Field,Bug,Medium,Completed,2/13/2017,3/14/2017,Kim
80,Documentation,Field,Enhancement,Major,pendingReview,3/14/2017,,Linda
81,Design,Testing,Inquiry,Critical,Approved,3/15/2017,,David
82,Requirements,Coding,Bug,High,inProgress,3/16/2017,,Michelle
83,Requirements,Design,Inquiry,Low,Rejected,3/17/2017,3/25/2017,Smith
84,Testing,Field,Bug,Medium,Completed,3/18/2017,3/26/2017,Michelle
85,Documentation,Field,Bug,Major,pendingReview,3/19/2017,,Roy
86,Design,Coding,Bug,High,inProgress,3/20/2017,,Kristen
87,Requirements,Testing,Bug,High,Completed,3/17/2017,3/25/2017,Lindsey
88,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Joseph
89,Documentation,Field,Bug,Major,pendingReview,2/28/2017,,Mark
90,Design,Coding,Bug,High,inProgress,3/1/2017,,James
91,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Rose
92,Design,Coding,Bug,High,inProgress,3/3/2017,,Lindsey
93,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
94,Testing,Field,Bug,Medium,Completed,3/5/2017,3/16/2017,Kristen
95,Design,Testing,Bug,Critical,Approved,8/6/2017,,Robert
96,Requirements,Coding,Bug,Critical,inProgress,8/7/2017,,Michelle
97,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
98,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
99,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
100,Design,Testing,Enhancement,High,Approved,3/11/2017,,Joseph
101,Requirements,Design,Inquiry,Low,Rejected,4/12/2017,5/13/2017,Smith
102,Testing,Field,Bug,Medium,Completed,4/13/2017,5/14/2017,Kim
103,Documentation,Field,Enhancement,Major,pendingReview,1/5/2017,,Sandy
104,Design,Testing,Bug,Critical,Approved,1/6/2017,,David
105,Requirements,Coding,Bug,High,Approved,1/7/2017,,Michelle
106,Requirements,Design,Inquiry,Low,Approved,1/8/2017,,Jeremy
107,Testing,Field,Bug,Medium,Approved,1/9/2017,,Joseph
108,Documentation,Field,Enhancement,Major,Approved,1/10/2017,,Roy
109,Design,Coding,Inquiry,Low,Approved,1/11/2017,,Zachary
110,Testing,Field,Bug,Medium,Approved,1/12/2017,,Tamara
111,Documentation,Field,Enhancement,Major,pendingReview,1/13/2017,,Eric
112,Design,Coding,Inquiry,High,inProgress,1/14/2017,,John
113,Coding,Testing,Bug,Low,Completed,1/15/2017,2/18/2017,Robert
114,Design,Coding,Inquiry,High,inProgress,1/16/2017,,Lindsey
115,Coding,Testing,Bug,Low,Completed,5/17/2017,5/20/2017,David
116,Testing,Field,Enhancement,Medium,Completed,5/18/2017,5/21/2017,Catherinee
117,Design,Testing,Inquiry,Critical,Approved,5/19/2017,,Ryan
